"Bug编号","所属产品","所属模块","所属执行","相关需求","相关任务","Bug标题","关键词","严重程度","优先级","Bug类型","操作系统","浏览器","重现步骤","Bug状态","截止日期","激活次数","是否确认","抄送给","由谁创建","创建日期","影响版本","指派给","指派日期","解决者","解决方案","解决版本","解决日期","由谁关闭","关闭日期","重复ID","相关Bug","相关用例","最后修改者","修改日期","附件"
"331","万岳在线教育系统WEB开源版(#202)","/后台管理员模块(#152)","万岳在线教育系统WEB开源版P06小组(#354)","后台内容管理(#424)","测试研发需求 #424 后台内容管理(359)","后台学科分类出错","无法编辑","3","3","代码错误","Windows","chrome","[步骤]
打开后台页面登陆后进行学科分类
[结果]
无法正常进行编辑
[期望]
正常进行编辑","已解决","2021-12-20","0","是","燕子","付晓峰","2021-12-11 22:23:42","后台版本(#21)","燕子","2021-12-12 15:59:08","朱霄涵","已解决","后台版本(#21)","2021-12-12 15:49:30","","0000-00-00 00:00:00","0","","","燕子","2021-12-12 16:20:36","屏幕截图 2021-12-11 221001.png
",""
"329","万岳在线教育系统WEB开源版(#202)","/后台管理员模块(#152)","万岳在线教育系统WEB开源版P06小组(#354)","后台用户管理(#425)","测试研发需求 #425 后台用户管理(358)","无法添加用户","没有权限","3","3","代码错误","Windows","chrome","[步骤]
打开后台页面登录后点击添加用户
[结果]
显示没有权限
[期望]
显示有权限","已解决","2021-12-21","0","是","燕子","付晓峰","2021-12-11 22:20:00","后台版本(#21)","燕子","2021-12-12 15:59:08","朱霄涵","已解决","后台版本(#21)","2021-12-12 15:49:30","","0000-00-00 00:00:00","0","","","燕子","2021-12-12 16:21:10","屏幕截图 2021-12-11 221001.png
屏幕截图 2021-12-11 221001.png
",""
"328","万岳在线教育系统WEB开源版(#202)","/(#0)","万岳在线教育系统WEB开源版P06小组(#354)","后台推送(#426)","测试研发需求 #426 后台推送(357)","从后台推送内容时显示后台代码","显示错误","4","4","代码错误","Windows","chrome","[步骤]
打开后台管理页面登录后点击新闻推送
[结果]
显示网页元素文件根目录
[期望]
不显示后台代码","已解决","2021-12-20","0","是","燕子","付晓峰","2021-12-11 22:18:02","后台版本(#21)","燕子","2021-12-12 15:59:08","朱霄涵","已解决","后台版本(#21)","2021-12-12 15:49:30","","0000-00-00 00:00:00","0","","","燕子","2021-12-12 16:21:45","屏幕截图 2021-12-11 221319.png
",""
"326","万岳在线教育系统WEB开源版(#202)","/(#0)","万岳在线教育系统WEB开源版P06小组(#354)","后台内容管理(#424)","测试研发需求 #424 后台内容管理(359)","无法修改后台管理员个人信息","无法修改后台管理员个人信息","3","3","代码错误","","","[步骤]
打开后台管理页面登录后点击个人信息修改
[结果]
显示没有权限
[期望]
有权限并可以修改后台管理员个人信息","已解决","2021-12-20","0","是","燕子","付晓峰","2021-12-11 22:15:19","后台版本(#21)","燕子","2021-12-12 15:59:08","朱霄涵","已解决","后台版本(#21)","2021-12-12 15:49:30","","0000-00-00 00:00:00","0","","","燕子","2021-12-12 16:22:15","屏幕截图 2021-12-11 220709.png
",""
"324","万岳在线教育系统WEB开源版(#202)","/讲师模块(#151)","万岳在线教育系统WEB开源版P06小组(#354)","视频大班课(#415)","","视频大班课没有摄像头，课件和屏幕共享选项","","3","3","设计缺陷","Windows 10","全部","[步骤]
对比产品操作手册，需求规格说明书，查看网页相关功能
[结果]
没有摄像头，课件和屏幕共享选项，无法开启摄像头，上传课件，屏幕共享
[期望]
有摄像头，课件和屏幕共享选项，可以开启摄像头，上传课件，屏幕共享
","已解决","2021-12-20","0","是","","燕子","2021-12-11 22:07:54","PC讲师版本(#18)","燕子","2021-12-12 15:59:08","朱霄涵","已解决","","2021-12-12 15:49:30","","0000-00-00 00:00:00","0","","","燕子","2021-12-12 16:04:27","bug界面.png
期望界面.png
",""
"322","万岳在线教育系统WEB开源版(#202)","/后台管理员模块(#152)","万岳在线教育系统WEB开源版P06小组(#354)","后台登录(#423)","测试研发需求 #423 后台登录(360)","后台管理界面错误提示非法登录","","3","3","代码错误","Windows","chrome","[步骤]
打开万岳后台管理登录界面
[结果]
登录加载过程中再次点击登录会错误提示非法登录
[期望]
登录加载过程中再次点击登录不提示非法登录，并且可以再次登录

","已解决","2021-12-20","0","是","燕子","付晓峰","2021-12-11 22:04:42","后台版本(#21)","燕子","2021-12-12 15:59:08","朱霄涵","已解决","后台版本(#21)","2021-12-12 15:49:30","","0000-00-00 00:00:00","0","","","燕子","2021-12-12 16:25:22","屏幕截图 2021-12-11 220334.png
",""
"320","万岳在线教育系统WEB开源版(#202)","/讲师模块(#151)","万岳在线教育系统WEB开源版P06小组(#354)","语音大班课(#416)","","语音大班课没有上传视频课件选项","","3","3","设计缺陷","Windows 10","全部","[步骤]
对比需求文档视频大班课需求和产品操作说明书，核对网页。
[结果]
没有上传视频课件的选项，无法上传课件
[期望]
有上传视频课件的选项，可以上传课件","已解决","0000-00-00","0","是","","燕子","2021-12-11 21:55:33","PC讲师版本(#18)","燕子","2021-12-12 15:59:08","朱霄涵","已解决","","2021-12-12 15:49:30","","0000-00-00 00:00:00","0","","","燕子","2021-12-12 16:04:27","bug界面.png
期望界面.jpg
",""
"318","万岳在线教育系统WEB开源版(#202)","/学生模块(#150)","","学生首页(#419)","","提示登录失效，跳转到首页后却还是已登录状态","","3","3","安全相关","","","[步骤]提示登录失效，跳转到学生首页

[结果]右上角仍显示登录的账号的头像
[期望]右上角恢复为登录/注册按钮


<img src=““{405.jpg}““ alt=““““ /><img src=““{407.png}““ alt=““““ />

","已解决","0000-00-00","0","是","","朱霄涵","2021-12-11 21:49:14","PC学生版本(#20)
","燕子","2021-12-12 15:59:08","朱霄涵","已解决","","2021-12-12 15:49:30","","0000-00-00 00:00:00","0","","","燕子","2021-12-12 16:04:27","",""
"317","万岳在线教育系统WEB开源版(#202)","/学生模块(#150)","","学生首页(#419)","","学生首页的课程图片无法显示","","3","3","其他","","","[步骤]进入首页，看到课程图片

[结果]课程图片未显示

[期望]显示课程图片
<img src=““{403.png}““ alt=““““ />","已解决","0000-00-00","0","是","","朱霄涵","2021-12-11 21:43:32","PC学生版本(#20)","燕子","2021-12-12 15:59:08","朱霄涵","已解决","","2021-12-12 15:49:30","","0000-00-00 00:00:00","0","","","燕子","2021-12-12 16:04:27","",""
"315","万岳在线教育系统WEB开源版(#202)","/学生模块(#150)","","学生首页(#419)","","首页二维码窗口没有关闭按钮，影响学生看课程图片","","3","3","其他","","","[步骤]进入首页，点击二维码窗口的关闭按钮，关闭二维码

[结果]没有关闭按钮

[期望]二维码窗口右上角有关闭按钮


<img src=““{401.png}““ alt=““““ />
","已解决","0000-00-00","0","是","","朱霄涵","2021-12-11 21:33:59","PC学生版本(#20)
","燕子","2021-12-12 15:59:08","朱霄涵","已解决","","2021-12-12 15:49:30","","0000-00-00 00:00:00","0","","","燕子","2021-12-12 16:04:27","",""
